Class;2.76;2.79;2.81;2.84;2.86;2.89;2.91;2.94;2.96;2.99;3.02;3.04;3.07;3.09;3.12;3.14;3.17;3.19;3.22;3.24;3.27;3.3;3.32;3.35;3.37;3.4;3.42;3.45;3.47
A;12.0;11.0;18.0;30.0;30.0;37.0;80.0;138.0;228.0;323.0;349.0;313.0;240.0;175.0;168.0;196.0;193.0;209.0;200.0;179.0;160.0;102.0;94.0;67.0;49.0;53.0;41.0;27.0;19.0
A;29.0;19.0;15.0;25.0;26.0;38.0;87.0;155.0;244.0;300.0;350.0;303.0;248.0;194.0;173.0;163.0;190.0;239.0;220.0;183.0;145.0;108.0;99.0;66.0;63.0;43.0;30.0;24.0;22.0
A;18.0;20.0;15.0;21.0;22.0;47.0;84.0;187.0;244.0;333.0;324.0;295.0;239.0;186.0;173.0;161.0;202.0;206.0;209.0;174.0;147.0;118.0;86.0;68.0;49.0;50.0;32.0;18.0;18.0
A;20.0;18.0;24.0;25.0;28.0;36.0;97.0;171.0;227.0;348.0;333.0;304.0;245.0;159.0;163.0;177.0;216.0;223.0;228.0;166.0;135.0;112.0;84.0;81.0;68.0;45.0;33.0;22.0;23.0
A;20.0;20.0;20.0;20.0;27.0;52.0;67.0;162.0;239.0;302.0;328.0;306.0;222.0;183.0;143.0;178.0;229.0;216.0;221.0;172.0;163.0;126.0;87.0;73.0;57.0;50.0;34.0;25.0;21.0
A;18.0;22.0;22.0;16.0;21.0;55.0;75.0;145.0;256.0;298.0;341.0;290.0;249.0;148.0;159.0;158.0;198.0;238.0;226.0;182.0;149.0;119.0;98.0;63.0;65.0;64.0;45.0;27.0;20.0
A;19.0;24.0;17.0;26.0;21.0;44.0;99.0;158.0;213.0;271.0;367.0;307.0;239.0;182.0;141.0;192.0;193.0;229.0;205.0;183.0;158.0;115.0;74.0;74.0;57.0;38.0;48.0;29.0;16.0
A;19.0;21.0;22.0;26.0;39.0;53.0;97.0;142.0;253.0;296.0;331.0;284.0;227.0;172.0;155.0;165.0;201.0;187.0;193.0;186.0;145.0;113.0;84.0;70.0;41.0;48.0;44.0;26.0;16.0
A;23.0;24.0;20.0;30.0;21.0;40.0;85.0;147.0;258.0;291.0;324.0;322.0;255.0;201.0;172.0;165.0;193.0;243.0;190.0;183.0;147.0;94.0;99.0;81.0;70.0;60.0;45.0;29.0;18.0
A;18.0;30.0;25.0;25.0;25.0;51.0;87.0;164.0;241.0;281.0;366.0;285.0;213.0;191.0;167.0;172.0;179.0;190.0;216.0;165.0;151.0;121.0;78.0;84.0;53.0;36.0;44.0;26.0;21.0
A;12.0;25.0;21.0;26.0;27.0;44.0;94.0;168.0;269.0;314.0;349.0;338.0;230.0;183.0;150.0;158.0;208.0;256.0;226.0;194.0;152.0;105.0;91.0;63.0;48.0;47.0;32.0;29.0;15.0
A;18.0;17.0;19.0;20.0;27.0;48.0;82.0;148.0;227.0;315.0;339.0;308.0;233.0;183.0;158.0;169.0;208.0;241.0;193.0;178.0;164.0;101.0;80.0;62.0;71.0;53.0;39.0;37.0;26.0
A;16.0;18.0;27.0;19.0;22.0;45.0;80.0;168.0;242.0;308.0;330.0;329.0;254.0;183.0;166.0;175.0;186.0;201.0;194.0;202.0;142.0;103.0;95.0;59.0;43.0;53.0;39.0;25.0;17.0
A;11.0;17.0;17.0;18.0;24.0;31.0;88.0;154.0;257.0;298.0;322.0;327.0;204.0;188.0;146.0;177.0;194.0;214.0;195.0;182.0;157.0;107.0;99.0;80.0;57.0;40.0;42.0;30.0;27.0
A;16.0;18.0;20.0;19.0;33.0;53.0;81.0;150.0;263.0;318.0;333.0;301.0;254.0;198.0;154.0;166.0;210.0;199.0;212.0;217.0;148.0;124.0;102.0;86.0;73.0;51.0;37.0;28.0;15.0
A;14.0;15.0;20.0;23.0;23.0;45.0;81.0;150.0;238.0;321.0;357.0;284.0;243.0;185.0;157.0;166.0;217.0;204.0;201.0;164.0;143.0;111.0;102.0;86.0;60.0;59.0;37.0;21.0;27.0
A;25.0;24.0;28.0;18.0;23.0;31.0;84.0;126.0;253.0;319.0;323.0;312.0;242.0;199.0;165.0;192.0;186.0;218.0;183.0;190.0;155.0;112.0;76.0;71.0;61.0;49.0;20.0;21.0;28.0
A;16.0;15.0;12.0;22.0;27.0;46.0;89.0;140.0;244.0;316.0;334.0;311.0;263.0;167.0;175.0;182.0;236.0;226.0;189.0;191.0;154.0;112.0;90.0;78.0;55.0;51.0;38.0;21.0;15.0
A;20.0;29.0;15.0;23.0;42.0;47.0;81.0;155.0;217.0;331.0;354.0;281.0;225.0;159.0;144.0;158.0;209.0;185.0;202.0;179.0;150.0;121.0;87.0;67.0;74.0;47.0;42.0;25.0;21.0
A;29.0;19.0;20.0;26.0;39.0;47.0;83.0;165.0;232.0;298.0;380.0;302.0;235.0;174.0;176.0;180.0;204.0;229.0;210.0;182.0;148.0;116.0;82.0;78.0;60.0;57.0;26.0;26.0;23.0
A;20.0;27.0;19.0;21.0;36.0;37.0;85.0;166.0;246.0;309.0;369.0;276.0;254.0;169.0;149.0;188.0;231.0;220.0;201.0;181.0;140.0;129.0;100.0;62.0;57.0;56.0;36.0;26.0;19.0
A;20.0;13.0;30.0;30.0;36.0;50.0;83.0;140.0;223.0;279.0;310.0;290.0;244.0;177.0;165.0;172.0;207.0;210.0;177.0;170.0;144.0;136.0;82.0;70.0;56.0;43.0;38.0;25.0;27.0
A;23.0;27.0;21.0;20.0;23.0;53.0;94.0;137.0;233.0;326.0;370.0;317.0;247.0;190.0;176.0;193.0;188.0;210.0;192.0;178.0;157.0;107.0;89.0;71.0;52.0;33.0;24.0;16.0;15.0
A;20.0;18.0;18.0;22.0;32.0;47.0;100.0;150.0;252.0;341.0;348.0;269.0;213.0;184.0;172.0;182.0;186.0;225.0;216.0;178.0;153.0;118.0;88.0;87.0;54.0;40.0;34.0;35.0;23.0
A;17.0;19.0;16.0;16.0;33.0;40.0;90.0;166.0;245.0;300.0;359.0;304.0;211.0;183.0;167.0;173.0;223.0;239.0;198.0;170.0;157.0;133.0;94.0;73.0;60.0;41.0;40.0;34.0;18.0
A;15.0;26.0;38.0;24.0;28.0;56.0;113.0;144.0;246.0;318.0;329.0;302.0;250.0;167.0;187.0;162.0;202.0;208.0;205.0;209.0;139.0;116.0;74.0;78.0;55.0;39.0;26.0;26.0;19.0
A;21.0;16.0;23.0;28.0;35.0;47.0;77.0;154.0;242.0;314.0;323.0;330.0;220.0;162.0;177.0;163.0;190.0;214.0;202.0;188.0;146.0;115.0;73.0;60.0;58.0;44.0;47.0;34.0;15.0
A;21.0;29.0;17.0;22.0;27.0;53.0;84.0;178.0;246.0;335.0;323.0;271.0;227.0;155.0;162.0;185.0;206.0;209.0;214.0;169.0;165.0;119.0;99.0;73.0;56.0;45.0;34.0;25.0;18.0
A;22.0;23.0;22.0;17.0;23.0;43.0;88.0;159.0;244.0;292.0;331.0;296.0;255.0;202.0;156.0;173.0;205.0;211.0;209.0;173.0;157.0;135.0;109.0;69.0;59.0;41.0;49.0;35.0;15.0
A;14.0;12.0;19.0;23.0;37.0;49.0;84.0;156.0;231.0;309.0;339.0;324.0;239.0;174.0;173.0;164.0;169.0;224.0;212.0;181.0;148.0;124.0;76.0;70.0;69.0;62.0;36.0;24.0;22.0
A;21.0;21.0;23.0;20.0;26.0;46.0;74.0;167.0;225.0;284.0;321.0;309.0;217.0;167.0;138.0;163.0;202.0;218.0;223.0;194.0;138.0;112.0;94.0;82.0;56.0;53.0;43.0;35.0;22.0
A;29.0;23.0;23.0;27.0;29.0;52.0;96.0;154.0;241.0;254.0;384.0;301.0;240.0;197.0;139.0;157.0;213.0;226.0;201.0;151.0;149.0;118.0;100.0;87.0;46.0;46.0;43.0;25.0;27.0
A;15.0;26.0;16.0;21.0;27.0;45.0;91.0;155.0;268.0;319.0;340.0;289.0;230.0;205.0;157.0;159.0;200.0;198.0;230.0;174.0;138.0;122.0;84.0;57.0;53.0;51.0;57.0;34.0;20.0
A;25.0;25.0;27.0;20.0;28.0;40.0;80.0;139.0;240.0;321.0;343.0;296.0;247.0;182.0;178.0;203.0;204.0;203.0;211.0;185.0;155.0;116.0;90.0;78.0;65.0;55.0;40.0;30.0;28.0
A;18.0;17.0;19.0;21.0;38.0;37.0;80.0;135.0;261.0;339.0;335.0;303.0;243.0;197.0;149.0;178.0;216.0;242.0;209.0;187.0;160.0;116.0;104.0;69.0;59.0;58.0;23.0;36.0;21.0
A;24.0;16.0;19.0;21.0;31.0;40.0;87.0;182.0;270.0;256.0;354.0;329.0;251.0;182.0;168.0;167.0;218.0;217.0;212.0;168.0;150.0;114.0;108.0;74.0;54.0;52.0;62.0;37.0;17.0
A;21.0;12.0;15.0;19.0;35.0;50.0;85.0;144.0;223.0;345.0;349.0;295.0;221.0;182.0;162.0;170.0;227.0;223.0;191.0;161.0;132.0;121.0;84.0;65.0;73.0;45.0;32.0;25.0;16.0
A;20.0;19.0;19.0;30.0;27.0;50.0;86.0;158.0;245.0;346.0;353.0;316.0;245.0;179.0;137.0;179.0;192.0;215.0;185.0;186.0;167.0;108.0;83.0;63.0;50.0;35.0;30.0;24.0;22.0
A;20.0;26.0;19.0;12.0;27.0;54.0;92.0;170.0;251.0;309.0;356.0;293.0;245.0;177.0;161.0;165.0;220.0;251.0;216.0;172.0;139.0;113.0;98.0;80.0;51.0;46.0;33.0;23.0;22.0
A;15.0;24.0;21.0;25.0;24.0;41.0;85.0;145.0;249.0;294.0;340.0;312.0;205.0;205.0;159.0;161.0;201.0;224.0;198.0;159.0;135.0;101.0;102.0;67.0;50.0;48.0;31.0;35.0;20.0
A;16.0;20.0;24.0;22.0;27.0;34.0;59.0;154.0;224.0;315.0;343.0;304.0;264.0;166.0;145.0;158.0;216.0;215.0;186.0;174.0;134.0;117.0;96.0;69.0;56.0;45.0;34.0;31.0;14.0
A;17.0;17.0;17.0;16.0;30.0;54.0;89.0;172.0;241.0;319.0;370.0;272.0;233.0;172.0;160.0;180.0;208.0;228.0;215.0;183.0;149.0;118.0;87.0;62.0;56.0;51.0;37.0;29.0;18.0
